latitude,longitude,bright_ti4,bright_ti5,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year
28.6139,77.209,365.2,308.1,0.39,0.36,2026-08-25,315,N,VIIRS,nominal,2.0NRT,300.4,42.1,N,0,2026
30.7333,76.7794,372.8,311.5,0.41,0.38,2026-08-25,318,N,VIIRS,high,2.0NRT,303.1,88.6,N,0,2026
22.3072,73.1812,358.9,305.4,0.36,0.34,2026-08-25,930,N,VIIRS,nominal,2.0NRT,297.8,35.2,D,0,2026
20.8397,85.1018,381.4,314.9,0.44,0.4,2026-08-25,322,N,VIIRS,high,2.0NRT,306.2,142.7,N,0,2026
17.3471,75.7711,349.1,299.6,0.31,0.29,2026-08-25,855,N,VIIRS,low,2.0NRT,293.5,18.4,D,0,2026
13.0827,80.2707,363.5,307.2,0.38,0.35,2026-08-25,327,N,VIIRS,nominal,2.0NRT,299.7,52.9,N,0,2026
26.9124,75.7873,355.7,303.8,0.35,0.33,2026-08-25,902,N,VIIRS,nominal,2.0NRT,296.4,31.6,D,0,2026
21.1702,72.8311,391.2,318.6,0.47,0.43,2026-08-25,331,N,VIIRS,high,2.0NRT,308.9,178.3,N,0,2026
19.076,72.8777,340.3,296.1,0.28,0.27,2026-08-25,908,N,VIIRS,low,2.0NRT,291.2,12.1,D,0,2026
23.0225,72.5714,368.9,309.7,0.4,0.37,2026-08-25,334,N,VIIRS,nominal,2.0NRT,301.5,64.8,N,0,2026
12.9716,77.5946,347.6,298.4,0.3,0.28,2026-08-25,912,N,VIIRS,low,2.0NRT,292.7,15.9,D,0,2026
25.5941,85.1376,376.1,312.9,0.42,0.39,2026-08-25,338,N,VIIRS,high,2.0NRT,304.6,109.5,N,0,2026
15.3173,75.7139,359.4,306.1,0.37,0.34,2026-08-25,916,N,VIIRS,nominal,2.0NRT,298.3,44.7,D,0,2026
27.1767,78.0081,383.7,315.8,0.45,0.41,2026-08-25,341,N,VIIRS,high,2.0NRT,307.1,151.2,N,0,2026
16.5062,80.648,352.8,301.9,0.33,0.31,2026-08-25,920,N,VIIRS,nominal,2.0NRT,295.1,28.3,D,0,2026
24.5854,73.7125,364.0,307.8,0.38,0.36,2026-08-25,345,N,VIIRS,nominal,2.0NRT,300.0,49.5,N,0,2026
11.0168,76.9558,343.9,297.2,0.29,0.27,2026-08-25,924,N,VIIRS,low,2.0NRT,290.8,10.7,D,0,2026
29.9457,78.1642,378.6,313.4,0.43,0.4,2026-08-25,348,N,VIIRS,high,2.0NRT,305.4,132.8,N,0,2026
18.5204,73.8567,356.2,304.0,0.34,0.32,2026-08-25,928,N,VIIRS,nominal,2.0NRT,296.9,37.4,D,0,2026
31.634,74.8723,388.5,317.2,0.46,0.42,2026-08-25,352,N,VIIRS,high,2.0NRT,308.0,165.9,N,0,2026
9.9312,76.2673,338.7,295.3,0.27,0.26,2026-08-25,931,N,VIIRS,low,2.0NRT,290.1,9.3,D,0,2026
26.4499,80.3319,371.3,310.6,0.39,0.37,2026-08-25,356,N,VIIRS,nominal,2.0NRT,301.9,58.6,N,0,2026
22.7196,75.8577,360.8,306.7,0.37,0.35,2026-08-25,935,N,VIIRS,nominal,2.0NRT,298.8,46.1,D,0,2026
20.2961,85.8245,395.6,320.1,0.48,0.44,2026-08-25,359,N,VIIRS,high,2.0NRT,309.5,192.4,N,0,2026
14.4426,79.9865,345.2,297.9,0.3,0.28,2026-08-25,939,N,VIIRS,low,2.0NRT,291.6,13.8,D,0,2026
